BuildingName,GlobalID,AddressID,Owner,Tennant,geom,BoundingBox,Longitude,Latitude,Altitude,lod0,lod1_X3D,lod1_OBJ,lod1_GLTF,lod1_GLB
building_multipatch_0,,,,,01030000000100000005000000e00f98568d4953403ce624651baa3c40e00f98568d495340b43e4e317a803c40681eb93c2f555340b43e4e317a803c40681eb93c2f5553403ce624651baa3c40e00f98568d4953403ce624651baa3c40,,-80.3086,36.9315,754.8736,,building_multipatch_0.x3d,building_multipatch_0.obj,building_multipatch_0.gltf,building_multipatch_0.glb
building_multipatch_1,,,,,01030000000100000005000000e4900fe5304c5340181259f4fa773c40e4900fe5304c534028ec4019e9523c40d47548b3b657534028ec4019e9523c40d47548b3b6575340181259f4fa773c40e4900fe5304c5340181259f4fa773c40,,-80.3088,36.93148,755.046,,building_multipatch_1.x3d,building_multipatch_1.obj,building_multipatch_1.gltf,building_multipatch_1.glb
building_multipatch_10,,,,,010300000001000000050000008c71eafd5338534054135df5cb873c408c71eafd53385340341adfa9915c3c40f832e7097c465340341adfa9915c3c40f832e7097c46534054135df5cb873c408c71eafd5338534054135df5cb873c40,,-80.3286,36.93151,706.6218,,building_multipatch_10.x3d,building_multipatch_10.obj,building_multipatch_10.gltf,building_multipatch_10.glb
